id,"name","image","genre","author",stock,"borrow_date","return_date","created_at","updated_at"
1,"俺か俺以外か","https://images-na.ssl-images-amazon.com/images/I/81d-TdJS1CL.jpg","ビジネス","ローランド",1,"2020-10-31","2020-11-01","2020-10-31 07:57:22","2020-10-31 07:57:22"
2,"ゼロ秒思考","https://images-na.ssl-images-amazon.com/images/I/41mFGNSxZvL._SX343_BO1,204,203,200_.jpg","ビジネス","赤羽 雄二",1,"2020-10-31","2020-11-01","2020-10-31 07:58:31","2020-10-31 07:58:31"
3,"オペレーションシステムの基礎","https://images-na.ssl-images-amazon.com/images/I/71vYk-5NdmL.jpg","プログラミング","大久保英嗣",NULL,NULL,NULL,"2020-11-03 11:47:25","2020-11-03 11:47:25"
4,"入社1年目の教科書","https://images-na.ssl-images-amazon.com/images/I/81Qz7xwq7jL.jpg","ビジネス","岩瀬大輔",NULL,NULL,NULL,"2020-11-03 11:47:58","2020-11-03 11:47:58"
5,"モチベーション3.0","https://images-na.ssl-images-amazon.com/images/I/412tzq2vpML._AC_SY400_.jpg","ビジネス","大前研一",NULL,NULL,NULL,"2020-11-03 11:49:08","2020-11-03 11:49:08"
6,"1分で話せ","https://www.ehonnavi.net/img/cover/500/500_Ehon_132190.jpg","ビジネス","伊藤羊一",NULL,NULL,NULL,"2020-11-03 11:49:43","2020-11-03 11:49:43"
7,"ライフコーチ - 自分を強く育てる習慣","https://images-na.ssl-images-amazon.com/images/I/61IGBWjZ+3L.jpg","ビジネス","林 忠之",NULL,NULL,NULL,"2020-11-03 11:50:50","2020-11-03 11:50:50"
8,"真実の瞬間","https://inoueroumu.cocolog-nifty.com/.shared/image.html?/photos/uncategorized/2010/11/12/img307_2.jpg","ビジネス","堤 猶二",NULL,NULL,NULL,"2020-11-03 11:51:39","2020-11-03 11:51:39"
9,"一瞬で「自分の答え」を知る法","https://images-na.ssl-images-amazon.com/images/I/51WmGcZMbrL._SX338_BO1,204,203,200_.jpg","ビジネス","本田 健",NULL,NULL,NULL,"2020-11-03 11:52:48","2020-11-03 11:52:48"
10,"スラスラわかるPHP","https://rimg.bookwalker.jp/6535891/frDGCemG5kX9EBY8IrbThQ__.jpg","プログラミング","志田 仁美",NULL,NULL,NULL,"2020-11-03 11:54:33","2020-11-03 11:54:33"
11,"計算機科学入門I","https://images-na.ssl-images-amazon.com/images/I/616250NPMCL.jpg","プログラミング","島川 博光",NULL,NULL,NULL,"2020-11-03 11:56:12","2020-11-03 11:56:12"
12,"計算機科学入門II","https://images-na.ssl-images-amazon.com/images/I/61cLkZZdYpL.jpg","プログラミング","島川 博光",NULL,NULL,NULL,"2020-11-03 11:56:28","2020-11-03 11:56:28"
13,"書く技術・伝える技術","https://images-na.ssl-images-amazon.com/images/I/519eZrNyaNL._SX349_BO1,204,203,200_.jpg","ビジネス","倉島 保美",NULL,NULL,NULL,"2020-11-03 11:57:38","2020-11-03 11:57:38"
14,"マンガ 就職活動入門","https://images-na.ssl-images-amazon.com/images/I/51OUP+eE5xL._SX350_BO1,204,203,200_.jpg","ビジネス","各務 展生",NULL,NULL,NULL,"2020-11-03 12:12:11","2020-11-03 12:12:11"
15,"元FBI捜査官が教える「心を支配する方法」","https://images-na.ssl-images-amazon.com/images/I/91Od9Qj+HwL.jpg","ビジネス","ジャック・シェーファー/マーヴィン・カーリンズ",NULL,NULL,NULL,"2020-11-03 12:14:23","2020-11-03 12:14:23"
16,"ORIGINALS 誰もが「人と違うこと」ができる時代","https://images-na.ssl-images-amazon.com/images/I/81r0BLjeyEL.jpg","ビジネス","アダム・グラント",NULL,NULL,NULL,"2020-11-03 12:15:34","2020-11-03 12:15:34"
17,"ノンデザイナーズ・デザインブック","https://m.media-amazon.com/images/I/51OV7VCefgL.jpg","プログラミング","Robin Williams",NULL,NULL,NULL,"2020-11-03 12:16:27","2020-11-03 12:16:27"
18,"Unity Asset PRESS","https://images-na.ssl-images-amazon.com/images/I/61ZxFAxMv1L.jpg","プログラミング","金本 融治",NULL,NULL,NULL,"2020-11-03 12:19:24","2020-11-03 12:19:24"
19,"Laravel エキスパート養成読本","https://images-na.ssl-images-amazon.com/images/I/61tpe696zdL._SX352_BO1,204,203,200_.jpg","プログラミング","技術評論者",NULL,NULL,NULL,"2020-11-03 12:20:45","2020-11-03 12:20:45"
20,"プロが教える レスポンシブWebデザイン現場のメソッド","https://images-na.ssl-images-amazon.com/images/I/51O8CroolhL._SX326_BO1,204,203,200_.jpg","プログラミング","笹尾 万里子/中村 真己/前川 昌幸",NULL,NULL,NULL,"2020-11-03 12:22:56","2020-11-03 12:22:56"
21,"現場のプロが教える HTML+CSSコーディングの最新常識","https://rimg.bookwalker.jp/9292791/frDGCemG5kX9EBY8IrbThQ__.jpg","プログラミング","大竹 孔明/小川 裕之/高梨 キンペイ/中江 亮",NULL,NULL,NULL,"2020-11-03 12:25:20","2020-11-03 12:25:20"
23,"ゼロから作る Deep Learning","https://www.oreilly.co.jp/books/images/picture_large978-4-87311-758-4.jpeg","プログラミング","斎藤 康毅",NULL,NULL,NULL,"2020-11-03 12:37:18","2020-11-03 12:37:18"
24,"CSS設計の教科書","https://images-na.ssl-images-amazon.com/images/I/71T86JBdBmL.jpg","プログラミング","谷 拓樹",NULL,NULL,NULL,"2020-11-03 12:37:55","2020-11-03 12:37:55"
25,"SASSの教科書","https://images-na.ssl-images-amazon.com/images/I/81xZcvB8vUL.jpg","プログラミング","平澤 隆/森田 壮",NULL,NULL,NULL,"2020-11-03 12:38:56","2020-11-03 12:38:56"
26,"インターフェースデザインの心理学","https://images-na.ssl-images-amazon.com/images/I/713vYrKniRL.jpg","プログラミング","Susan Weinschenk",NULL,NULL,NULL,"2020-11-03 12:43:42","2020-11-03 12:43:42"
27,"JavaプログラマSilver","https://images-na.ssl-images-amazon.com/images/I/81H7xjiNfXL.jpg","プログラミング","山本 道子",NULL,NULL,NULL,"2020-11-03 12:52:24","2020-11-03 12:52:24"
28,"プログラミングの基礎","https://images-na.ssl-images-amazon.com/images/I/913A4QS-R1L.jpg","プログラミング","浅井 健一",NULL,NULL,NULL,"2020-11-03 12:53:09","2020-11-03 12:53:09"
29,"PHP5 技術者認定[初級]試験 問題集","https://images-na.ssl-images-amazon.com/images/I/51V1nPhg5dL._SX351_BO1,204,203,200_.jpg","プログラミング","内山 祥恵/棚橋 英之",NULL,NULL,NULL,"2020-11-03 12:58:35","2020-11-03 12:58:35"
30,"猫でもわかる WindowsプログラミングC#版","https://images-na.ssl-images-amazon.com/images/I/51CDf0krgeL._SX351_BO1,204,203,200_.jpg","プログラミング","粂井 康孝",NULL,NULL,NULL,"2020-11-03 13:01:14","2020-11-03 13:01:14"
31,"Ruby on Rails4 アプリケーションプログラミング","https://m.media-amazon.com/images/I/519Z8Rna1gL.jpg","プログラミング","山田 祥寛",NULL,NULL,NULL,"2020-11-03 13:02:14","2020-11-03 13:02:14"
32,"プログラマの数学","https://images-na.ssl-images-amazon.com/images/I/71VelRKCQRL.jpg","プログラミング","結城 浩",NULL,NULL,NULL,"2020-11-03 13:03:02","2020-11-03 13:03:02"
33,"Unity5 C#超入門","https://images-na.ssl-images-amazon.com/images/I/51ihEKzNvuL.jpg","プログラミング","掌田 津耶乃",NULL,NULL,NULL,"2020-11-03 13:04:29","2020-11-03 13:04:29"
34,"絶対に挫折しない iPhoneアプリ開発「超」入門","https://m.media-amazon.com/images/I/41IuPZ7mB9L.jpg","プログラミング","高橋 京介",NULL,NULL,NULL,"2020-11-03 13:05:56","2020-11-03 13:05:56"
35,"新しいLinuxの教科書","https://images-na.ssl-images-amazon.com/images/I/717OZeBG3DL.jpg","プログラミング","三宅 英明/大角 祐介",NULL,NULL,NULL,"2020-11-03 14:05:27","2020-11-03 14:05:27"
36,"Angular JS","https://shop.r10s.jp/book/cabinet/9736/9784883379736.jpg","プログラミング","堤 修一",NULL,NULL,NULL,"2020-11-03 14:06:46","2020-11-03 14:06:46"
37,"新・明解C言語 入門編","https://images-na.ssl-images-amazon.com/images/I/71lr1jfNIVL.jpg","プログラミング","柴田望洋",NULL,NULL,NULL,"2020-11-03 14:11:16","2020-11-03 14:11:16"
38,"パーフェクトPHP","https://images-na.ssl-images-amazon.com/images/I/81av6EldkpL.jpg","プログラミング","小川 雄大/柄沢 聡太郎/橋口 誠",NULL,NULL,NULL,"2020-11-03 14:12:26","2020-11-03 14:12:26"
